"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"MYBE","2_BLT","Global",1.93,3.44,0.06,0.29,1.96,0.57,0.11,0.17
"MYKU","1_nSPC","Global",1.93,3.44,0.06,0.06,1.34,1.34,0.08,0.08
"MYKU","2_BLT","Global",1.93,3.44,0,0,0.17,0.05,0,0
"MYMA","1_nSPC","Global",1.93,3.44,0,0,0.55,0.55,0,0
"MYSP","1_nSPC","Global",1.93,3.44,0.01,0.01,0.59,0.59,0,0
"MYVI","1_nSPC","Global",1.93,3.44,0,0,0.39,0.39,0,0
"NAAN","1_nSPC","Global",1.93,3.44,0.01,0.01,0.48,0.48,0,0
"NABR","1_nSPC","Global",1.93,3.44,0.22,0.22,2.28,2.28,0.51,0.51
"NABR","2_BLT","Global",1.93,3.44,0.05,0.27,4.78,1.39,0.24,0.37
"NAHE","1_nSPC","Global",1.93,3.44,0.26,0.26,2.8,2.8,0.72,0.72
"NAHE","2_BLT","Global",1.93,3.44,0.04,0.21,11.02,3.2,0.41,0.68
"NALI","1_nSPC","Global",1.93,3.44,0.63,0.63,1.05,1.05,0.66,0.66
"NALI","2_BLT","Global",1.93,3.44,0.23,0.67,2.18,0.63,0.5,0.43
"NASP","1_nSPC","Global",1.93,3.44,0.02,0.02,0.27,0.27,0,0
"NAUN","1_nSPC","Global",1.93,3.44,0.29,0.29,1.66,1.66,0.48,0.48
"NAUN","2_BLT","Global",1.93,3.44,0.1,0.44,2.12,0.62,0.21,0.27
"NEAU","1_nSPC","Global",1.93,3.44,0,0,0.07,0.07,0,0
"NEED","1_nSPC","Global",1.93,3.44,0,0,0.16,0.16,0,0
"NEMA","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"NESA","1_nSPC","Global",1.93,3.44,0.02,0.02,0.23,0.23,0,0
"NESA","2_BLT","Global",1.93,3.44,0,0.01,0.27,0.08,0,0
"NESP","1_nSPC","Global",1.93,3.44,0,0,0.21,0.21,0,0
"NOTA","1_nSPC","Global",1.93,3.44,0.05,0.05,0.09,0.09,0,0
"NOTA","2_BLT","Global",1.93,3.44,0.01,0.07,0.21,0.06,0,0
"OPFA","1_nSPC","Global",1.93,3.44,0,0,0.76,0.76,0,0
"OPPU","1_nSPC","Global",1.93,3.44,0,0,3.78,3.78,0.01,0.01
"OPPU","2_BLT","Global",1.93,3.44,0.01,0.05,3.11,0.9,0.02,0.04
"OSMA","1_nSPC","Global",1.93,3.44,0,0,0.11,0.11,0,0
"OSME","1_nSPC","Global",1.93,3.44,0.11,0.11,0.04,0.04,0,0
"OSWH","1_nSPC","Global",1.93,3.44,0,0,0.04,0.04,0,0
"OXBI","1_nSPC","Global",1.93,3.44,0.21,0.21,0.04,0.04,0.01,0.01
"OXTY","1_nSPC","Global",1.93,3.44,0,0,0.03,0.03,0,0
"OXUN","1_nSPC","Global",1.93,3.44,0.22,0.22,0.46,0.46,0.1,0.1
"OXUN","2_BLT","Global",1.93,3.44,0.02,0.1,0.61,0.18,0.01,0.02
"PAAR","1_nSPC","Global",1.93,3.44,0.79,0.79,0.13,0.13,0.11,0.11
"PACY","1_nSPC","Global",1.93,3.44,0.23,0.23,0.66,0.66,0.15,0.15
"PACY","2_BLT","Global",1.93,3.44,0.04,0.21,0.66,0.19,0.02,0.04
"PAFO","1_nSPC","Global",1.93,3.44,0.32,0.32,0.14,0.14,0.04,0.04
"PAFO","2_BLT","Global",1.93,3.44,0,0,0.23,0.07,0,0
"PAIN","1_nSPC","Global",1.93,3.44,0.27,0.27,0.32,0.32,0.09,0.09
"PAIN","2_BLT","Global",1.93,3.44,0.08,0.36,0.9,0.26,0.07,0.09
"PAMU","1_nSPC","Global",1.93,3.44,0.84,0.84,0.3,0.3,0.25,0.25
"PAMU","2_BLT","Global",1.93,3.44,0.1,0.43,0.62,0.18,0.06,0.08
"PAPL","1_nSPC","Global",1.93,3.44,0.24,0.24,0.17,0.17,0.04,0.04
"PAPL","2_BLT","Global",1.93,3.44,0.01,0.09,0.31,0.09,0,0.01
"PAPO","1_nSPC","Global",1.93,3.44,0.06,0.06,0.65,0.65,0.04,0.04
"PAPO","2_BLT","Global",1.93,3.44,0.01,0.05,0.44,0.13,0,0.01
"PARR","1_nSPC","Global",1.93,3.44,0.16,0.16,0.1,0.1,0.02,0.02
"PASC","1_nSPC","Global",1.93,3.44,0.03,0.03,0.02,0.02,0,0
"PEAS","1_nSPC","Global",1.93,3.44,0.08,0.08,0.03,0.03,0,0
"PESP","1_nSPC","Global",1.93,3.44,0.02,0.02,0.03,0.03,0,0
"PLAR","2_BLT","Global",1.93,3.44,0,0,0.04,0.01,0,0
"PLEW","1_nSPC","Global",1.93,3.44,0.15,0.15,0,0,0,0
"PLGO","1_nSPC","Global",1.93,3.44,0.19,0.19,0,0,0,0
"PLIM","1_nSPC","Global",1.93,3.44,0.34,0.34,0.04,0.04,0.01,0.01
"PLJO","1_nSPC","Global",1.93,3.44,0.59,0.59,0.05,0.05,0.03,0.03
"PLSI","1_nSPC","Global",1.93,3.44,0.02,0.02,0.05,0.05,0,0
"PRKA","1_nSPC","Global",1.93,3.44,0.06,0.06,0.1,0.1,0.01,0.01
"PRME","1_nSPC","Global",1.93,3.44,0,0,0.39,0.39,0,0
"PRME","2_BLT","Global",1.93,3.44,0,0.03,0.67,0.2,0,0.01
"PSBI","1_nSPC","Global",1.93,3.44,0.04,0.04,0.07,0.07,0,0
"PSCE","1_nSPC","Global",1.93,3.44,0.23,0.23,0.03,0.03,0.01,0.01
"PSEV","1_nSPC","Global",1.93,3.44,0.32,0.32,0.02,0.02,0.01,0.01
"PSHW","1_nSPC","Global",1.93,3.44,0,0,0.04,0.04,0,0
"PSOC","1_nSPC","Global",1.93,3.44,0.27,0.27,0.03,0.03,0.01,0.01
"PSTE","1_nSPC","Global",1.93,3.44,0.31,0.31,0.01,0.01,0,0
"PTHE","1_nSPC","Global",1.93,3.44,0.06,0.06,0.07,0.07,0,0
"PTSP","1_nSPC","Global",1.93,3.44,0,0,0.16,0.16,0,0
"PUFF","1_nSPC","Global",1.93,3.44,0,0,0.09,0.09,0,0
"RHAC","1_nSPC","Global",1.93,3.44,0.01,0.01,0.35,0.35,0,0
"RHAC","2_BLT","Global",1.93,3.44,0,0.01,0.44,0.13,0,0
"RHRE","1_nSPC","Global",1.93,3.44,0.29,0.29,0.33,0.33,0.1,0.1
"RHRE","2_BLT","Global",1.93,3.44,0.03,0.16,0.27,0.08,0.01,0.01
"SACA","1_nSPC","Global",1.93,3.44,0,0,0.1,0.1,0,0
"SADI","1_nSPC","Global",1.93,3.44,0.02,0.02,0.21,0.21,0.01,0.01
"SAEN","1_nSPC","Global",1.93,3.44,0,0,0.37,0.37,0,0
"SAFL","1_nSPC","Global",1.93,3.44,0,0,0.16,0.16,0,0
"SAOR","1_nSPC","Global",1.93,3.44,0,0,22.74,22.74,0.02,0.02
"SAPP","1_nSPC","Global",1.93,3.44,0.01,0.01,0.34,0.34,0,0
"SAPU","1_nSPC","Global",1.93,3.44,0,0,0.37,0.37,0,0
