"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"MYAD","2_BLT","0.21","-1.1721"," 1.5617","1.3","0.2356","4.7762","0.0022","0.0018","0.7","0.53","0.0015","0.00092"
"MYAM","1_nSPC","-1.5","-3.6362"," 0.5464","2.5e+10","3.275e-02","1.411e+08","0.0137","0.0137","0.52","5.2e-01","0.00714","7.1e-03"
"MYAM","2_BLT","-1.5","-3.6362"," 0.5464","2.5e+10","3.275e-02","1.411e+08","0.0017","0.0077","0.54","2.1e-11","0.00094","1.6e-13"
"MYBE","1_nSPC","0.046","-0.33334"," 0.41824","2.4","1.553","3.460","0.15","0.15","0.85","0.85","0.13","0.13"
"MYBE","2_BLT","0.046","-0.33334"," 0.41824","2.4","1.553","3.460","0.16","0.15","2.87","1.19","0.45","0.18"
"MYKU","1_nSPC","-0.11","-0.6262"," 0.4516","1.9","0.854","3.531","0.059","0.059","0.46","0.46","0.028","0.028"
"MYKU","2_BLT","-0.11","-0.6262"," 0.4516","1.9","0.854","3.531","0.041","0.046","0.66","0.36","0.027","0.016"
"MYMU","1_nSPC","-1.1","-3.320"," 1.144","8.9"," 0.9743","36.8887","0.0127","0.0127","0.4","0.40","0.0050","0.00503"
"MYMU","2_BLT","-1.1","-3.320"," 1.144","8.9"," 0.9743","36.8887","0.0017","0.0053","1.1","0.12","0.0019","0.00064"
"MYSP","1_nSPC","-0.031","-0.95915"," 0.81059","0.95","0.3737","1.9614","0.0132","0.0132","0.20","0.20","0.0026","0.0026"
"MYSP","2_BLT","-0.031","-0.95915"," 0.81059","0.95","0.3737","1.9614","0.0064","0.0066","0.34","0.36","0.0022","0.0024"
"NABH","1_nSPC","-1","-3.0345"," 0.8883","0.82","0.08724","3.02077","0.01191","0.012","5.7","5.7","0.0678","0.068"
"NABH","2_BLT","-1","-3.0345"," 0.8883","0.82","0.08724","3.02077","0.00072","0.002","4.1","4.9","0.0029","0.010"
"NABR","1_nSPC","-0.78","-1.3050","-0.2763","1.6","0.997","2.479","0.136","0.14","1.7","1.7","0.23","0.23"
"NABR","2_BLT","-0.78","-1.3050","-0.2763","1.6","0.997","2.479","0.063","0.13","2.1","1.3","0.13","0.17"
"NAHE","1_nSPC","-0.66","-1.1403","-0.1532","1.9","0.895","3.627","0.111","0.11"," 4.8","4.8","0.53","0.53"
"NAHE","2_BLT","-0.66","-1.1403","-0.1532","1.9","0.895","3.627","0.096","0.17","13.7","7.1","1.31","1.21"
"NALI","1_nSPC","-0.98","-1.2897","-0.6880","3.6","2.770","4.676","0.44","0.44","0.5","0.50","0.22","0.22"
"NALI","2_BLT","-0.98","-1.2897","-0.6880","3.6","2.770","4.676","0.46","0.69","2.6","0.71","1.19","0.49"
"NASP","1_nSPC","2","1.016","3.031","20","  0.3865","103.8392","0.030","0.030","0.22","0.2161","0.0066","6.6e-03"
"NASP","2_BLT","2","1.016","3.031","20","  0.3865","103.8392","0.022","0.003","0.17","0.0083","0.0036","2.5e-05"
"NATO","1_nSPC","-1.6","-2.6334","-0.3508","2","0.4876","5.3283","0.0339","0.034","19","19","0.64","0.64"
"NATO","2_BLT","-1.6","-2.6334","-0.3508","2","0.4876","5.3283","0.0053","0.025","32","16","0.17","0.41"
"NAUN","1_nSPC","-0.74","-1.5876"," 0.0746","0.8","0.1695","2.0649","0.068","0.068","2.9","2.9","0.20","0.20"
"NAUN","2_BLT","-0.74","-1.5876"," 0.0746","0.8","0.1695","2.0649","0.038","0.076","3.8","4.8","0.14","0.36"
"NAVL","1_nSPC","-1.3","-1.9187","-0.7307","1.4","0.782","2.151","0.164","0.16","2.4","2.4","0.39","0.39"
"NAVL","2_BLT","-1.3","-1.9187","-0.7307","1.4","0.782","2.151","0.065","0.21","2.0","1.5","0.13","0.31"
"NEAR","1_nSPC","-0.42","-1.2055"," 0.3962","6.7"," 2.131","18.153","0.035","0.035","0.009","0.009","0.00032","0.00032"
"NEAR","2_BLT","-0.42","-1.2055"," 0.3962","6.7"," 2.131","18.153","0.034","0.051","1.952","0.290","0.06699","0.01483"
"NEMA","1_nSPC","0.31","-0.1071"," 0.7194","3.6","2.271","5.392","0.11","0.113","0.012","0.012","0.0014","0.0014"
"NEMA","2_BLT","0.31","-0.1071"," 0.7194","3.6","2.271","5.392","0.12","0.091","0.062","0.017","0.0074","0.0016"
"NEOP","1_nSPC","-0.75","-2.0169"," 0.5118","1.7","0.617","3.726","0.0238","0.0238","0.17","0.17","0.00396","0.00396"
"NEOP","2_BLT","-0.75","-2.0169"," 0.5118","1.7","0.617","3.726","0.0034","0.0071","0.20","0.12","0.00069","0.00085"
"NESA","1_nSPC","0.2","-0.3850"," 0.7367","2.8","1.557","4.629","0.046","0.046","0.42","0.42","0.019","0.0191"
"NESA","2_BLT","0.2","-0.3850"," 0.7367","2.8","1.557","4.629","0.027","0.022","0.65","0.23","0.017","0.0051"
"NESP","1_nSPC","-0.85","-2.1689"," 0.3535","1.7","0.4199","4.1832","0.0227","0.023","0.15","0.152","0.00345","0.00345"
"NESP","2_BLT","-0.85","-2.1689"," 0.3535","1.7","0.4199","4.1832","0.0022","0.005","0.16","0.094","0.00034","0.00047"
"NOTA","1_nSPC","-0.44","-1.2991"," 0.5194","0.78","0.05828","3.62666","0.049","0.049","0.12","0.12","0.0056","0.0056"
"NOTA","2_BLT","-0.44","-1.2991"," 0.5194","0.78","0.05828","3.62666","0.023","0.035","0.30","0.39","0.0069","0.0136"
"ODNI","1_nSPC","-0.85","-1.67104","-0.05424","8.5"," 1.422","28.238","0.0369","0.037","0.71","0.71","0.026","0.0262"
"ODNI","2_BLT","-0.85","-1.67104","-0.05424","8.5"," 1.422","28.238","0.0061","0.014","2.62","0.31","0.016","0.0044"
"OSAN","1_nSPC","-0.51","-1.8856"," 0.8887","4.9"," 0.1358","28.3902","0.0088","0.0088","0.021","0.0213","0.00019","0.00019"
"OSAN","2_BLT","-0.51","-1.8856"," 0.8887","4.9"," 0.1358","28.3902","0.0135","0.0222","0.026","0.0054","0.00036","0.00012"
"OSCU","1_nSPC","0.97","-0.3497"," 2.2826","26"," 5.065","80.090","0.012","0.0124","0.2","0.202","0.0025","0.00250"
"OSCU","2_BLT","0.97","-0.3497"," 2.2826","26"," 5.065","80.090","0.016","0.0061","1.4","0.054","0.0222","0.00033"
"OSME","1_nSPC","-1.6","-2.2830","-0.8315","2.5","1.103","4.399","0.10","0.10","0.078","0.078","0.0078","0.0078"
"OSME","2_BLT","-1.6","-2.2830","-0.8315","2.5","1.103","4.399","0.03","0.13","0.253","0.103","0.0075","0.0136"
