"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"MOGR","873","606","267","320","243","77"
"MORA","873","606","267","2","0","2"
"MUFL","873","606","267","41","20","21"
"MUVA","873","606","267","75","39","36"
"MYAM","873","606","267","26","21","5"
"MYBE","873","606","267","193","112","81"
"MYKU","873","606","267","66","42","24"
"MYMU","873","606","267","8","3","5"
"MYSP","873","606","267","33","18","15"
"MYVI","873","606","267","5","3","2"
"MYVL","873","606","267","3","3","0"
"NAAN","873","606","267","10","6","4"
"NABR","873","606","267","60","53","7"
"NACA","873","606","267","4","1","3"
"NAHE","873","606","267","137","97","40"
"NALI","873","606","267","769","529","240"
"NASP","873","606","267","51","14","37"
"NATO","873","606","267","67","55","12"
"NAUN","873","606","267","101","63","38"
"NAVL","873","606","267","74","57","17"
"NEAG","873","606","267","5","3","2"
"NEAR","873","606","267","329","194","135"
"NEFE","873","606","267","10","5","5"
"NEMA","873","606","267","300","187","113"
"NEOP","873","606","267","11","8","3"
"NESA","873","606","267","35","16","19"
"NESP","873","606","267","9","5","4"
"NOTA","873","606","267","53","49","4"
"ODNI","873","606","267","49","26","23"
"OPPU","873","606","267","11","8","3"
"OSAN","873","606","267","45","30","15"
"OSME","873","606","267","78","60","18"
"OSNO","873","606","267","5","4","1"
"OXBI","873","606","267","5","4","1"
"OXDI","873","606","267","43","40","3"
"OXUN","873","606","267","558","445","113"
"PAAR","873","606","267","685","472","213"
"PABA","873","606","267","25","17","8"
"PACL","873","606","267","166","106","60"
"PACY","873","606","267","241","182","59"
"PAFO","873","606","267","424","289","135"
"PAHE","873","606","267","112","84","28"
"PAHP","873","606","267","32","28","4"
"PAIN","873","606","267","412","278","134"
"PAMI","873","606","267","62","35","27"
"PAMT","873","606","267","3","2","1"
"PAMU","873","606","267","657","470","187"
"PAPL","873","606","267","48","36","12"
"PAPR","873","606","267","4","0","4"
"PARR","873","606","267","85","49","36"
"PEJA","873","606","267","54","41","13"
"PEOU","873","606","267","112","75","37"
"PERV","873","606","267","7","4","3"
"PLDI","873","606","267","223","163","60"
"PLIM","873","606","267","75","43","32"
"PLJO","873","606","267","498","334","164"
"PLLA","873","606","267","416","262","154"
"PLLD","873","606","267","16","12","4"
"PLPH","873","606","267","5","3","2"
"PLPI","873","606","267","16","11","5"
"PLRH","873","606","267","6","5","1"
"PLTA","873","606","267","138","71","67"
"PLTE","873","606","267","4","3","1"
"POGU","873","606","267","446","309","137"
"POIM","873","606","267","209","155","54"
"POPA","873","606","267","2","1","1"
"POPU","873","606","267","3","1","2"
"POVA","873","606","267","609","411","198"
"PSAT","873","606","267","129","70","59"
"PSCO","873","606","267","1","1","0"
"PSEV","873","606","267","94","62","32"
"PSHE","873","606","267","133","62","71"
"PSMO","873","606","267","75","65","10"
"PSOC","873","606","267","257","153","104"
"PSPA","873","606","267","96","58","38"
"PSTE","873","606","267","302","199","103"
"PTAN","873","606","267","20","14","6"
"PTEN","873","606","267","5","4","1"
"PTEV","873","606","267","199","150","49"
"PTHE","873","606","267","51","33","18"
"PTMA","873","606","267","14","10","4"
"PTMI","873","606","267","11","9","2"
"PTTI","873","606","267","116","90","26"
"PTZE","873","606","267","46","39","7"
"PUFF","873","606","267","3","2","1"
"PYDI","873","606","267","246","186","60"
"RABB","873","606","267","6","5","1"
"RHRE","873","606","267","50","44","6"
"SACA","873","606","267","207","147","60"
"SADI","873","606","267","25","18","7"
"SAGR","873","606","267","9","1","8"
"SAMI","873","606","267","12","7","5"
"SAPP","873","606","267","7","6","1"
"SASP","873","606","267","50","22","28"
"SATI","873","606","267","326","210","116"
"SCAL","873","606","267","43","29","14"
"SCDM","873","606","267","13","11","2"
"SCFO","873","606","267","432","299","133"
"SCFR","873","606","267","20","10","10"
"SCGH","873","606","267","22","8","14"
"SCGL","873","606","267","48","29","19"
"SCLY","873","606","267","13","10","3"
"SCNI","873","606","267","9","6","3"
"SCOV","873","606","267","107","58","49"
"SCPP","873","606","267","11","7","4"
"SCPS","873","606","267","197","160","37"
"SCRU","873","606","267","449","298","151"
"SCSC","873","606","267","144","113","31"
"SCSP","873","606","267","27","9","18"
"SECY","873","606","267","4","1","3"
"SESP","873","606","267","2","1","1"
"SIAR","873","606","267","29","24","5"
"SNDP","873","606","267","30","14","16"
"SPBA","873","606","267","21","20","1"
"SPDE","873","606","267","6","4","2"
