"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHPE","2_BLT","0.63","0.3173","0.9243","2.5","2.169","2.923","0.71","0.57","16","6.3","11.2","3.5"
"CHQU","1_nSPC","0.028","-0.63959"," 0.66009","2.4","0.9277","5.8233","0.123","0.123","0.12","0.12","0.015","0.0145"
"CHQU","2_BLT","0.028","-0.63959"," 0.66009","2.4","0.9277","5.8233","0.068","0.066","0.32","0.13","0.022","0.0087"
"CHSL","1_nSPC","0.17","-0.09337"," 0.48621","3.3","2.663","4.081","0.40","0.4","2.3","2.3","0.9","0.90"
"CHSL","2_BLT","0.17","-0.09337"," 0.48621","3.3","2.663","4.081","0.55","0.5","6.4","1.9","3.5","0.97"
"CHTR","1_nSPC","-1.4","-2.1565","-0.7186","4.1","2.286","6.549","0.066","0.066","0.19","0.19","0.012","0.012"
"CHTR","2_BLT","-1.4","-2.1565","-0.7186","4.1","2.286","6.549","0.043","0.161","1.70","0.42","0.073","0.067"
"CHUB","1_nSPC","-0.25","-0.50713"," 0.02403","2","1.454","2.817","0.34","0.34"," 9.6"," 9.6","3.3","3.3"
"CHUB","2_BLT","-0.25","-0.50713"," 0.02403","2","1.454","2.817","0.24","0.29","30.8","15.2","7.5","4.4"
"CHUN","1_nSPC","-0.69","-1.3002","-0.1783","1.5","0.5632","3.1124","0.045","0.045","0.17","0.17","0.0077","0.0077"
"CHUN","2_BLT","-0.69","-1.3002","-0.1783","1.5","0.5632","3.1124","0.018","0.036","0.46","0.31","0.0085","0.0114"
"CHVA","1_nSPC","0.059","-0.2532"," 0.3873","2.2","1.634","2.850","0.41","0.41","0.53","0.53","0.214","0.21"
"CHVA","2_BLT","0.059","-0.2532"," 0.3873","2.2","1.634","2.850","0.36","0.35","0.25","0.12","0.092","0.04"
"CHVE","1_nSPC","-0.19","-0.6353"," 0.2344","3.8","2.271","6.358","0.084","0.084","0.63","0.63","0.053","0.053"
"CHVE","2_BLT","-0.19","-0.6353"," 0.2344","3.8","2.271","6.358","0.059","0.070","2.20","0.57","0.129","0.040"
