"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHOR","1_nSPC","Global",2.67,0.19,0.4,0.4,0,0,0,0
"CHOX","1_nSPC","Global",2.67,0.19,0.07,0.07,0,0,0,0
"CHPE","1_nSPC","Global",2.67,0.19,0.09,0.09,0,0,0,0
"CHPE","2_TOW","Global",2.67,0.19,0,0.03,0,0,0,0
"CHPU","1_nSPC","Global",2.67,0.19,0.21,0.21,0.01,0.01,0,0
"CHPW","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"CHQN","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"CHQU","1_nSPC","Global",2.67,0.19,0.36,0.36,0,0,0,0
"CHRE","1_nSPC","Global",2.67,0.19,0.18,0.18,0,0,0,0
"CHSE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"CHSL","1_nSPC","Global",2.67,0.19,0.55,0.55,0.02,0.02,0.01,0.01
"CHTA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"CHTE","1_nSPC","Global",2.67,0.19,0,0,0.02,0.02,0,0
"CHTL","1_nSPC","Global",2.67,0.19,0.25,0.25,0,0,0,0
"CHTR","1_nSPC","Global",2.67,0.19,0.26,0.26,0.01,0.01,0,0
"CHUB","1_nSPC","Global",2.67,0.19,0.16,0.16,0.01,0.01,0,0
"CHUB","2_TOW","Global",2.67,0.19,0,0.01,0,0.01,0,0
"CHUD","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"CHUD","2_TOW","Global",2.67,0.19,0.04,0.39,0,0,0,0
"CHUL","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"CHUN","1_nSPC","Global",2.67,0.19,0.16,0.16,0,0,0,0
"CHVA","1_nSPC","Global",2.67,0.19,0.42,0.42,0.25,0.25,0.11,0.11
"CHVE","1_nSPC","Global",2.67,0.19,0.04,0.04,0.01,0.01,0,0
"CHVG","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"CHVR","1_nSPC","Global",2.67,0.19,0.03,0.03,0.07,0.07,0,0
"CHXA","1_nSPC","Global",2.67,0.19,0.36,0.36,0.03,0.03,0.01,0.01
"CIEX","1_nSPC","Global",2.67,0.19,0.1,0.1,0.14,0.14,0.01,0.01
"CIFA","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"CIFL","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"CIHU","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"CIKA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"CILB","1_nSPC","Global",2.67,0.19,0.01,0.01,0.04,0.04,0,0
"CIOX","1_nSPC","Global",2.67,0.19,0.16,0.16,0.01,0.01,0,0
"CIPI","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"CIPO","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"CISP","1_nSPC","Global",2.67,0.19,0.09,0.09,0.01,0.01,0,0
"CIVA","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"CIVR","1_nSPC","Global",2.67,0.19,0.11,0.11,0.01,0.01,0,0
"COAY","1_nSPC","Global",2.67,0.19,0.22,0.22,0,0,0,0
"COAY","2_TOW","Global",2.67,0.19,0.01,0.14,0,0,0,0
"COCE","1_nSPC","Global",2.67,0.19,0.08,0.08,0.01,0.01,0,0
"COGA","1_nSPC","Global",2.67,0.19,0.3,0.3,0,0,0,0
"CTBI","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"CTCY","1_nSPC","Global",2.67,0.19,0.48,0.48,0.02,0.02,0.01,0.01
"CTFL","1_nSPC","Global",2.67,0.19,0.1,0.1,0,0,0,0
"CTHA","1_nSPC","Global",2.67,0.19,0.2,0.2,0,0,0,0
"CTMA","1_nSPC","Global",2.67,0.19,0.52,0.52,0.01,0.01,0.01,0.01
"CTSP","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"CTSR","1_nSPC","Global",2.67,0.19,0.34,0.34,0.03,0.03,0.01,0.01
