"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CADU","2_BLT","-2.3","-2.906","-1.582","1.3","0.8209","1.8508","0.024","0.19","0.77","0.62","0.018","0.118"
"CAFE","1_nSPC","-0.81","-2.3753"," 0.7622","0.97","0.0777","3.7187","0.0150","0.015","3.07","3.07","0.0461","0.046"
"CAFE","2_BLT","-0.81","-2.3753"," 0.7622","0.97","0.0777","3.7187","0.0081","0.018","0.78","0.81","0.0064","0.015"
"CAIG","1_nSPC","-1.1","-1.9531","-0.2214","0.56","0.3128","0.9019","0.0318","0.032","23.1","23","0.735","0.73"
"CAIG","2_BLT","-1.1","-1.9531","-0.2214","0.56","0.3128","0.9019","0.0095","0.027"," 6.4","12","0.061","0.31"
"CALU","1_nSPC","-1.4","-1.9177","-0.9115","1.3","0.8832","1.7349","0.19","0.19","7.0","7.0","1.32","1.3"
"CALU","2_BLT","-1.4","-1.9177","-0.9115","1.3","0.8832","1.7349","0.13","0.38","4.2","3.3","0.54","1.3"
"CAME","1_nSPC","-2.4","-2.747","-1.953","0.56","0.4254","0.7150","0.489","0.49","6.8","6.8","3.32","3.3"
"CAME","2_BLT","-2.4","-2.747","-1.953","0.56","0.4254","0.7150","0.096","0.53","3.2","5.7","0.31","3.1"
"CAML","1_nSPC","-2.6","-3.496","-1.687","1","0.6961","1.4707","0.068","0.068","24","24","1.65","1.7"
"CAML","2_BLT","-2.6","-3.496","-1.687","1","0.6961","1.4707","0.009","0.106","20","19","0.18","2.1"
"CAOR","1_nSPC","-2.1","-2.815","-1.258","0.77","0.4371","1.2434","0.170","0.17","1.5","1.5","0.260","0.26"
"CAOR","2_BLT","-2.1","-2.815","-1.258","0.77","0.4371","1.2434","0.015","0.11","2.6","3.3","0.037","0.35"
"CASE","1_nSPC","-2.7","-6.2659"," 0.9849","1.6e+15","2.641e-15","3.547e+02","0.00793","0.0079","70.3","7.0e+01","0.55688","5.6e-01"
"CASE","2_BLT","-2.7","-6.2659"," 0.9849","1.6e+15","2.641e-15","3.547e+02","0.00031","0.0046"," 1.4","8.9e-16","0.00044","4.0e-18"
"CATE","1_nSPC","-1.8","-2.4983","-0.9812","2.3","1.125","4.588","0.143","0.14","24","24","3.4","3.4"
"CATE","2_BLT","-1.8","-2.4983","-0.9812","2.3","1.125","4.588","0.035","0.17","66","28","2.3","4.9"
"CEAR","1_nSPC","-4","-4.490","-3.492","0.89","0.7678","1.0360","0.68","0.68","2.6","2.6","1.76","1.8"
"CEAR","2_BLT","-4","-4.490","-3.492","0.89","0.7678","1.0360","0.25","0.95","2.0","2.2","0.48","2.1"
"CEMI","1_nSPC","-1.2","-1.744","-0.627","2","1.560","2.522","0.16","0.16","2.1","2.1","0.34","0.34"
"CEMI","2_BLT","-1.2","-1.744","-0.627","2","1.560","2.522","0.12","0.32","4.2","2.1","0.53","0.67"
"CESP","1_nSPC","-1.8","-4.253"," 0.606","11"," 1.352","41.081","0.01678","0.0168","0.53","0.529","0.00887","0.00887"
"CESP","2_BLT","-1.8","-4.253"," 0.606","11"," 1.352","41.081","0.00069","0.0041","0.67","0.062","0.00046","0.00025"
"CESX","1_nSPC","-2.2","-5.3379"," 0.9125","4.2"," 0.4762","16.6972","0.01243","0.0124","0.62","0.62","0.00776","0.0078"
"CESX","2_BLT","-2.2","-5.3379"," 0.9125","4.2"," 0.4762","16.6972","0.00058","0.0051","0.97","0.23","0.00056","0.0012"
"CEUR","1_nSPC","-5.2","-6.024","-4.482","0.98","0.6385","1.3712","0.486","0.49","0.42","0.42","0.204","0.20"
"CEUR","2_BLT","-5.2","-6.024","-4.482","0.98","0.6385","1.3712","0.032","0.86","0.98","1.00","0.031","0.87"
"CHCH","1_nSPC","-3.3","-5.8939","-0.8338","1.7"," 0.03186","12.74973","0.0290","0.029","104","104","3.02","3.02"
