"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"POSE","1_nSPC","Global",3.47,14.19,0,0,13.15,13.15,0.03,0.03
"PRKA","1_nSPC","Global",3.47,14.19,0.02,0.02,0.08,0.08,0,0
"PRME","1_nSPC","Global",3.47,14.19,0.01,0.01,0.43,0.43,0.01,0.01
"PROL","1_nSPC","Global",3.47,14.19,0,0,1.25,1.25,0,0
"PSBI","1_nSPC","Global",3.47,14.19,0,0,0.05,0.05,0,0
"PSCE","1_nSPC","Global",3.47,14.19,0.13,0.13,0.04,0.04,0.01,0.01
"PSDE","1_nSPC","Global",3.47,14.19,0,0,25.51,25.51,0.08,0.08
"PSDE","2_TOW","Global",3.47,14.19,0,0.13,22.36,1.58,0.1,0.2
"PSEV","1_nSPC","Global",3.47,14.19,0.12,0.12,0.02,0.02,0,0
"PSHW","1_nSPC","Global",3.47,14.19,0,0,0.04,0.04,0,0
"PSMA","1_nSPC","Global",3.47,14.19,0,0,0.01,0.01,0,0
"PSOC","1_nSPC","Global",3.47,14.19,0.16,0.16,0.05,0.05,0.01,0.01
"PSSP","1_nSPC","Global",3.47,14.19,0,0,0.01,0.01,0,0
"PSTE","1_nSPC","Global",3.47,14.19,0.09,0.09,0.02,0.02,0,0
"PSTH","1_nSPC","Global",3.47,14.19,0.02,0.02,0.9,0.9,0.02,0.02
"PTHE","1_nSPC","Global",3.47,14.19,0.05,0.05,0.04,0.04,0,0
"PTSP","1_nSPC","Global",3.47,14.19,0.03,0.03,0.08,0.08,0,0
"RHAC","1_nSPC","Global",3.47,14.19,0.02,0.02,0.11,0.11,0,0
"RHRE","1_nSPC","Global",3.47,14.19,0.17,0.17,0.46,0.46,0.08,0.08
"SADI","1_nSPC","Global",3.47,14.19,0.06,0.06,0.2,0.2,0.01,0.01
"SAEN","1_nSPC","Global",3.47,14.19,0,0,0.61,0.61,0,0
"SAGR","1_nSPC","Global",3.47,14.19,0,0,0.06,0.06,0,0
"SAPP","1_nSPC","Global",3.47,14.19,0.05,0.05,0.2,0.2,0.01,0.01
"SASP","1_nSPC","Global",3.47,14.19,0.06,0.06,1.23,1.23,0.08,0.08
"SATI","1_nSPC","Global",3.47,14.19,0.01,0.01,1.2,1.2,0.01,0.01
"SAXA","1_nSPC","Global",3.47,14.19,0.04,0.04,0.44,0.44,0.02,0.02
"SCCA","1_nSPC","Global",3.47,14.19,0,0,1.18,1.18,0,0
"SCDI","1_nSPC","Global",3.47,14.19,0,0,0.1,0.1,0,0
"SCDU","1_nSPC","Global",3.47,14.19,0.44,0.44,1.67,1.67,0.73,0.73
"SCLY","1_nSPC","Global",3.47,14.19,0.01,0.01,2.1,2.1,0.01,0.01
"SCPA","1_nSPC","Global",3.47,14.19,0,0,0.02,0.02,0,0
"SCPP","1_nSPC","Global",3.47,14.19,0,0,0.02,0.02,0,0
"SCPS","1_nSPC","Global",3.47,14.19,0.21,0.21,0.88,0.88,0.18,0.18
"SCRU","1_nSPC","Global",3.47,14.19,0.12,0.12,2.79,2.79,0.32,0.32
"SCRU","2_TOW","Global",3.47,14.19,0.01,0.14,2.91,0.21,0.01,0.03
"SCSP","1_nSPC","Global",3.47,14.19,0.08,0.08,0.49,0.49,0.04,0.04
"SCSP","2_TOW","Global",3.47,14.19,0.01,0.14,3.17,0.22,0.02,0.03
"SEBA","1_nSPC","Global",3.47,14.19,0,0,0.01,0.01,0,0
"SECO","1_nSPC","Global",3.47,14.19,0.04,0.04,0.02,0.02,0,0
"SEDU","1_nSPC","Global",3.47,14.19,0.02,0.02,19.75,19.75,0.43,0.43
"SEDU","2_TOW","Global",3.47,14.19,0.01,0.3,14.26,1,0.19,0.3
"SHAR","2_TOW","Global",3.47,14.19,0,0.02,3.54,0.25,0,0.01
"SNAP","2_TOW","Global",3.47,14.19,0.02,0.33,4.96,0.35,0.08,0.12
"SOLD","1_nSPC","Global",3.47,14.19,0,0,0.19,0.19,0,0
"SPBA","1_nSPC","Global",3.47,14.19,0.01,0.01,7.42,7.42,0.08,0.08
"SPBA","2_TOW","Global",3.47,14.19,0,0.07,6.83,0.48,0.02,0.03
"SPDE","1_nSPC","Global",3.47,14.19,0.02,0.02,4.16,4.16,0.07,0.07
"SPLE","2_TOW","Global",3.47,14.19,0,0,29.35,2.07,0,0
"STBA","1_nSPC","Global",3.47,14.19,0.62,0.62,0.12,0.12,0.07,0.07
"STMA","1_nSPC","Global",3.47,14.19,0.69,0.69,0.51,0.51,0.36,0.36
"SUBU","1_nSPC","Global",3.47,14.19,0.31,0.31,0.32,0.32,0.1,0.1
"SUFR","1_nSPC","Global",3.47,14.19,0.2,0.2,1.35,1.35,0.27,0.27
"SURG","1_nSPC","Global",3.47,14.19,0.01,0.01,0.01,0.01,0,0
"SYBI","1_nSPC","Global",3.47,14.19,0.01,0.01,0.02,0.02,0,0
"SYDE","1_nSPC","Global",3.47,14.19,0.01,0.01,0.06,0.06,0,0
"SYUL","1_nSPC","Global",3.47,14.19,0.01,0.01,0.1,0.1,0,0
"SYVA","1_nSPC","Global",3.47,14.19,0.01,0.01,0.02,0.02,0,0
"THBA","1_nSPC","Global",3.47,14.19,0.62,0.62,1.22,1.22,0.76,0.76
"THDQ","1_nSPC","Global",3.47,14.19,0.01,0.01,0.07,0.07,0,0
"THDU","1_nSPC","Global",3.47,14.19,0.93,0.93,0.76,0.76,0.71,0.71
"THLU","1_nSPC","Global",3.47,14.19,0.02,0.02,0.04,0.04,0,0
"THPU","1_nSPC","Global",3.47,14.19,0.22,0.22,1.41,1.41,0.32,0.32
"THQU","1_nSPC","Global",3.47,14.19,0.02,0.02,0.12,0.12,0,0
"THSP","1_nSPC","Global",3.47,14.19,0,0,0.11,0.11,0,0
"THTR","1_nSPC","Global",3.47,14.19,0.1,0.1,0.37,0.37,0.04,0.04
"TROB","1_nSPC","Global",3.47,14.19,0.11,0.11,35.38,35.38,3.98,3.98
"TROB","2_TOW","Global",3.47,14.19,0.04,0.56,6.19,0.44,0.23,0.24
"TUNA","1_nSPC","Global",3.47,14.19,0,0,12.63,12.63,0.02,0.02
"TYCR","1_nSPC","Global",3.47,14.19,0.01,0.01,0.05,0.05,0,0
"WRAS","1_nSPC","Global",3.47,14.19,0.03,0.03,0.01,0.01,0,0
"WRAS","2_TOW","Global",3.47,14.19,0,0.12,3.25,0.23,0.01,0.03
"XAAU","1_nSPC","Global",3.47,14.19,0.01,0.01,0.25,0.25,0,0
"XAME","1_nSPC","Global",3.47,14.19,0.02,0.02,0.97,0.97,0.01,0.01
"ZACO","1_nSPC","Global",3.47,14.19,0.52,0.52,0.46,0.46,0.24,0.24
"ZEFL","1_nSPC","Global",3.47,14.19,0.18,0.18,0.26,0.26,0.05,0.05
"ZEVE","1_nSPC","Global",3.47,14.19,0.22,0.22,1.04,1.04,0.23,0.23
