"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHOV","1_nSPC","Global",3.62,0.19,0.14,0.14,0.02,0.02,0,0
"CHPE","1_nSPC","Global",3.62,0.19,0.06,0.06,0,0,0,0
"CHPE","2_TOW","Global",3.62,0.19,0.04,0.61,0,0,0,0
"CHQU","1_nSPC","Global",3.62,0.19,0.37,0.37,0,0,0,0
"CHRE","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"CHSL","1_nSPC","Global",3.62,0.19,0.36,0.36,0.01,0.01,0,0
"CHTI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CHUB","1_nSPC","Global",3.62,0.19,0.2,0.2,0.01,0.01,0,0
"CHUB","2_TOW","Global",3.62,0.19,0,0.01,0,0.02,0,0
"CHUN","1_nSPC","Global",3.62,0.19,0.11,0.11,0,0,0,0
"CHVA","1_nSPC","Global",3.62,0.19,0.72,0.72,0.12,0.12,0.09,0.09
"CHVE","1_nSPC","Global",3.62,0.19,0.13,0.13,0.02,0.02,0,0
"CHVI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CIFA","1_nSPC","Global",3.62,0.19,0.24,0.24,0,0,0,0
"CIJO","1_nSPC","Global",3.62,0.19,0,0,0.01,0.01,0,0
"CILB","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CIOB","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CIPI","1_nSPC","Global",3.62,0.19,0.11,0.11,0,0,0,0
"CISP","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CIVA","1_nSPC","Global",3.62,0.19,0.11,0.11,0,0,0,0
"COBA","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"COFL","1_nSPC","Global",3.62,0.19,0.03,0.03,0,0,0,0
"COFL","2_TOW","Global",3.62,0.19,0,0,0,0,0,0
"COGA","1_nSPC","Global",3.62,0.19,0.41,0.41,0,0,0,0
"CONG","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"COVE","1_nSPC","Global",3.62,0.19,0.34,0.34,0.01,0.01,0,0
"CTHA","1_nSPC","Global",3.62,0.19,0.12,0.12,0,0,0,0
