"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"THPU","1_nSPC","-0.22","-0.9700"," 0.5505","4.4","2.266","7.540","0.061","0.061","0.0033","0.0033","2e-04","2.0e-04"
"THPU","2_BLT","-0.22","-0.9700"," 0.5505","4.4","2.266","7.540","0.045","0.056","0.0066","0.0015","3e-04","8.3e-05"
"THQU","1_nSPC","0.064","-1.17212"," 1.30230","4.1","1.419","9.558","0.012","0.012","0.0019","0.0019","2.2e-05","2.2e-05"
"THQU","2_BLT","0.064","-1.17212"," 1.30230","4.1","1.419","9.558","0.029","0.027","0.0047","0.0011","1.4e-04","3.1e-05"
"THTR","1_nSPC","-0.11","-0.6289"," 0.4437","3.1","1.980","4.821","0.12","0.12","0.0033","0.0033","0.0004","0.00040"
"THTR","2_BLT","-0.11","-0.6289"," 0.4437","3.1","1.980","4.821","0.13","0.15","0.0090","0.0029","0.0012","0.00043"
"TROB","1_nSPC","-1.2","-3.225"," 1.008","1.3","0.435","3.086","0.01751","0.0175","0.0017","0.0017","3.0e-05","3.0e-05"
"TROB","2_BLT","-1.2","-3.225"," 1.008","1.3","0.435","3.086","0.00064","0.0021","0.0017","0.0013","1.1e-06","2.6e-06"
"WRAS","1_nSPC","0.074","-1.05304"," 1.19265","6.4"," 0.6443","24.4763","0.014","0.014","0.0090","0.0090","1.3e-04","1.3e-04"
"WRAS","2_BLT","0.074","-1.05304"," 1.19265","6.4"," 0.6443","24.4763","0.012","0.011","0.0078","0.0012","9.3e-05","1.4e-05"
"XAAU","1_nSPC","-0.47","-1.1837"," 0.2103","3.9","2.037","6.478","0.054","0.054","0.0051","0.0051","0.00027","0.00027"
"XAAU","2_BLT","-0.47","-1.1837"," 0.2103","3.9","2.037","6.478","0.053","0.082","0.0368","0.0095","0.00194","0.00078"
"ZACO","1_nSPC","-1.3","-1.5848","-0.9829","3","2.566","3.548","0.38","0.38","0.0034","0.0034","0.0013","0.0013"
"ZACO","2_BLT","-1.3","-1.5848","-0.9829","3","2.566","3.548","0.17","0.42","0.0109","0.0036","0.0018","0.0015"
"ZEFL","1_nSPC","-0.56","-0.8770","-0.2517","2.4","1.819","3.193","0.41","0.41","0.018","0.018","0.0074","0.0074"
"ZEFL","2_BLT","-0.56","-0.8770","-0.2517","2.4","1.819","3.193","0.30","0.43","0.036","0.015","0.0110","0.0065"
"ZEVE","1_nSPC","-0.42","-1.0416"," 0.1666","1.8","1.273","2.496","0.087","0.087","0.0024","0.0024","2.1e-04","2.1e-04"
"ZEVE","2_BLT","-0.42","-1.0416"," 0.1666","1.8","1.273","2.496","0.016","0.024","0.0054","0.0030","8.6e-05","7.2e-05"
