"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"MANI","2_TOW","-3.1","-3.336","-2.830","0.45","0.3649","0.5501","0.02","0.31","0.0015","0.0033","0.00003","0.0010"
"MOGR","1_nSPC","-22","-636.85"," 585.98","34","2.840e-21","1.374e-07","0.4306","0.43","0.00419","4.2e-03","1.8e-03","1.8e-03"
"MOGR","2_TOW","-22","-636.85"," 585.98","34","2.840e-21","1.374e-07","0.0018","1.00","0.00051","1.5e-05","9.3e-07","1.5e-05"
"NAAN","1_nSPC","-1.7","-2.6048","-0.7448","0.64","0.1521","1.8860","0.0058","0.0058","0.0022","0.0022","1.3e-05","1.3e-05"
"NAAN","2_TOW","-1.7","-2.6048","-0.7448","0.64","0.1521","1.8860","0.0046","0.0248","0.0014","0.0022","6.5e-06","5.5e-05"
"NABH","1_nSPC","-0.54","-1.8569"," 0.9459","0.32","0.1487","0.5868","0.0023","0.0023","0.00165","0.0017","3.9e-06","3.9e-06"
"NABH","2_TOW","-0.54","-1.8569"," 0.9459","0.32","0.1487","0.5868","0.0020","0.0034","0.00057","0.0018","1.1e-06","6.1e-06"
"NABR","1_nSPC","-6.6","-8.555","-4.616","0.24","0.03239","0.89691","0.0863","0.086","0.0035","0.0035","3.0e-04","0.00030"
"NABR","2_TOW","-6.6","-8.555","-4.616","0.24","0.03239","0.89691","0.0001","0.071","0.0005","0.0021","5.2e-08","0.00015"
"NAHE","1_nSPC","-2.1","-2.286","-1.815","0.24","0.1893","0.2937","0.190","0.19","0.0094","0.0094","0.00178","0.0018"
"NAHE","2_TOW","-2.1","-2.286","-1.815","0.24","0.1893","0.2937","0.091","0.44","0.0025","0.0105","0.00022","0.0046"
"NASP","1_nSPC","-3.6","-4.779","-2.595","0.049","0.002232","0.248148","0.0104","0.010","0.01492","0.015","1.6e-04","0.00016"
"NASP","2_TOW","-3.6","-4.779","-2.595","0.049","0.002232","0.248148","0.0013","0.046","0.00077","0.016","9.8e-07","0.00072"
"NATO","1_nSPC","-1.9","-2.239","-1.565","0.25","0.2074","0.2994","0.066","0.066","0.00311","0.0031","2.1e-04","0.00021"
"NATO","2_TOW","-1.9","-2.239","-1.565","0.25","0.2074","0.2994","0.049","0.261","0.00063","0.0026","3.1e-05","0.00067"
"NAUN","1_nSPC","-4.5","-5.242","-3.816","0.29","0.1654","0.4835","0.1080","0.11","0.00236","0.0024","2.5e-04","0.00025"
"NAUN","2_TOW","-4.5","-5.242","-3.816","0.29","0.1654","0.4835","0.0026","0.19","0.00077","0.0026","2.0e-06","0.00051"
"NAVL","1_nSPC","-6.3","-7.660","-4.838","0.3","0.08559","0.72848","0.1596","0.16","0.00299","0.0030","4.8e-04","0.00048"
