"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"NEFE","1_nSPC","-2.2","-2.992","-1.360","0.035","0.02163","0.05517","0.0195","0.019","87.8","88","1.7091","1.7"
"NEFE","2_TOW","-2.2","-2.992","-1.360","0.035","0.02163","0.05517","0.0018","0.016"," 2.9","84","0.0053","1.3"
"OPPU","1_nSPC","-6.8","-12.8956"," -0.9633","0.33","0.02111","1.55689","0.02738","0.027","1.33","1.33","3.6e-02","0.036"
"OPPU","2_TOW","-6.8","-12.8956"," -0.9633","0.33","0.02111","1.55689","0.00001","0.009","0.22","0.67","2.3e-06","0.006"
"PARR","1_nSPC","-8.8","-14.833"," -2.751","28","  0.05239","216.17984","6.3e-02","0.063","0.30","0.3033","1.9e-02","0.01903"
"PARR","2_TOW","-8.8","-14.833"," -2.751","28","  0.05239","216.17984","4.9e-06","0.031","0.27","0.0098","1.3e-06","0.00031"
"PLLV","1_nSPC","-3.7","-5.377","-1.978","0.18","0.04235","0.51017","0.00744","0.0074","4.52","4.5","0.03360","0.034"
"PLLV","2_TOW","-3.7","-5.377","-1.978","0.18","0.04235","0.51017","0.00023","0.0093","0.48","2.7","0.00011","0.025"
"PLPI","1_nSPC","-3.7","-4.644","-2.679","0.8","0.1926","2.1716","0.02295","0.023","0.87","0.87","0.01996","0.020"
"PLPI","2_TOW","-3.7","-4.644","-2.679","0.8","0.1926","2.1716","0.00088","0.033","0.32","0.39","0.00028","0.013"
"PSFL","1_nSPC","-4.8","-8.320","-1.084","24","1.127e-03","1.019e+02","3.5e-03","0.0035","3.55","3.549","1.3e-02","1.3e-02"
"PSFL","2_TOW","-4.8","-8.320","-1.084","24","1.127e-03","1.019e+02","1.5e-05","0.0018","0.32","0.013","4.7e-06","2.4e-05"
"SCAL","1_nSPC","-3.8","-4.609","-3.079","0.16","0.07555","0.29047","0.02261","0.023","5.72","5.7","0.12945","0.129"
"SCAL","2_TOW","-3.8","-4.609","-3.079","0.16","0.07555","0.29047","0.00053","0.023","0.32","2.0","0.00017","0.047"
"SCFO","1_nSPC","-14","-22.121"," -5.736","0.33","0.02069","1.30701","5.4e-01","0.54","2.0","2.0","1.1e+00","1.06"
"SCFO","2_TOW","-14","-22.121"," -5.736","0.33","0.02069","1.30701","4.9e-05","0.98","0.2","0.6","9.8e-06","0.59"
"SCLY","1_nSPC","-5.2","-7.210","-3.243","0.12","0.03103","0.32323","0.02588","0.026","1.707","1.71","4.4e-02","0.044"
"SCLY","2_TOW","-5.2","-7.210","-3.243","0.12","0.03103","0.32323","0.00013","0.022","0.077","0.67","9.8e-06","0.015"
