"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"SEDU","2076","1741","335","35","34","1"
"SEOX","2042","1707","335","3","2","1"
"SNDP","2042","1707","335","1","0","1"
"SOLD","2116","1707","409","76","2","74"
"SPBA","2158","1814","344","116","107","9"
"SPLE","2074","1739","335","33","32","1"
"SPQE","2114","1776","338","72","69","3"
"STAL","2042","1707","335","24","22","2"
"STAU","3234","2722","512","1221","1028","193"
"STBA","2123","1764","359","96","64","32"
"STBN","2313","1944","369","327","290","37"
"STFA","2541","2148","393","501","441","60"
"STNI","2144","1809","335","122","107","15"
"STSP","2042","1707","335","17","15","2"
"SUBU","2684","2279","405","642","572","70"
"SUCH","2204","1860","344","162","153","9"
"SUFR","2077","1736","341","35","29","6"
"SURG","2176","1707","469","168","32","136"
"TAME","2064","1725","339","22","18","4"
"THAM","3137","2651","486","1170","1005","165"
"THBA","2053","1715","338","11","8","3"
"THDU","2305","1888","417","265","181","84"
"THHA","2108","1765","343","82","73","9"
"THLN","2244","1879","365","219","176","43"
"THLU","3080","2547","533","1054","848","206"
"THPU","2210","1866","344","168","159","9"
"THQU","3368","2853","515","2124","1858","266"
"THTR","2204","1865","339","162","158","4"
"TRIG","2085","1710","375","45","3","42"
"TROB","2302","1912","390","260","205","55"
"VALO","2578","2184","394","536","477","59"
"WRAS","2209","1745","464","167","38","129"
"XACA","2118","1772","346","76","65","11"
"ZACO","2746","2350","396","708","643","65"
"ZEFL","2441","2037","404","420","330","90"
"ZERO","2423","2040","383","383","335","48"
"ZESC","2324","1930","394","353","265","88"
"ZEVE","2125","1769","356","83","62","21"
