"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"GYJA","1_nSPC","Global",2.33,3.39,0.01,0.01,9.18,9.18,0.09,0.09
"GYJA","2_BLT","Global",2.33,3.39,0.01,0.06,1.22,0.36,0.01,0.02
"GYME","1_nSPC","Global",2.33,3.39,0.01,0.01,0.68,0.68,0.01,0.01
"GYME","2_BLT","Global",2.33,3.39,0,0.01,1.08,0.32,0,0
"GYMI","1_nSPC","Global",2.33,3.39,0,0,1.26,1.26,0,0
"GYSP","1_nSPC","Global",2.33,3.39,0.01,0.01,2.99,2.99,0.02,0.02
"GYUC","1_nSPC","Global",2.33,3.39,0.02,0.02,15.51,15.51,0.37,0.37
"GYUC","2_BLT","Global",2.33,3.39,0,0.03,11.07,3.27,0.03,0.09
"GYUN","1_nSPC","Global",2.33,3.39,0,0,4.09,4.09,0.01,0.01
"GYUN","2_BLT","Global",2.33,3.39,0,0.01,0.52,0.15,0,0
"HABI","1_nSPC","Global",2.33,3.39,0.07,0.07,0.03,0.03,0,0
"HAHO","1_nSPC","Global",2.33,3.39,0.6,0.6,0.18,0.18,0.11,0.11
"HAHO","2_BLT","Global",2.33,3.39,0.05,0.35,0.37,0.11,0.02,0.04
"HAMA","1_nSPC","Global",2.33,3.39,0.1,0.1,0.03,0.03,0,0
"HAME","1_nSPC","Global",2.33,3.39,0.04,0.04,0.03,0.03,0,0
"HAML","1_nSPC","Global",2.33,3.39,0.01,0.01,0.05,0.05,0,0
"HAMT","1_nSPC","Global",2.33,3.39,0.14,0.14,0.03,0.03,0,0
"HAOR","1_nSPC","Global",2.33,3.39,0.26,0.26,0.03,0.03,0.01,0.01
"HAPR","1_nSPC","Global",2.33,3.39,0.01,0.01,0.06,0.06,0,0
"HASP","1_nSPC","Global",2.33,3.39,0.01,0.01,0.03,0.03,0,0
"HATR","1_nSPC","Global",2.33,3.39,0.17,0.17,0.09,0.09,0.02,0.02
"HEAC","1_nSPC","Global",2.33,3.39,0,0,0.21,0.21,0,0
"HECA","1_nSPC","Global",2.33,3.39,0,0,0.54,0.54,0,0
"HECH","1_nSPC","Global",2.33,3.39,0.07,0.07,0.22,0.22,0.01,0.01
"HEFA","1_nSPC","Global",2.33,3.39,0.29,0.29,0.18,0.18,0.05,0.05
"HEFA","2_BLT","Global",2.33,3.39,0.02,0.16,0.48,0.14,0.01,0.02
"HEME","1_nSPC","Global",2.33,3.39,0.03,0.03,0.52,0.52,0.01,0.01
"HEME","2_BLT","Global",2.33,3.39,0,0.01,0.25,0.07,0,0
