"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"NALI","1432","1161","271","829","720","109"
"NASP","1432","1161","271","21","7","14"
"NATH","1432","1161","271","5","4","1"
"NATO","1432","1161","271","48","45","3"
"NAUN","1432","1161","271","63","56","7"
"NAVL","1432","1161","271","210","190","20"
"NEAR","1432","1161","271","44","35","9"
"NEMA","1432","1161","271","220","172","48"
"NEOP","1432","1161","271","23","20","3"
"NESA","1432","1161","271","97","77","20"
"NESP","1432","1161","271","35","32","3"
"NOTA","1432","1161","271","47","40","7"
"ODNI","1432","1161","271","87","80","7"
"OSAN","1432","1161","271","15","12","3"
"OSCU","1432","1161","271","11","7","4"
"OSME","1432","1161","271","147","138","9"
"OXDI","1432","1161","271","304","277","27"
"OXLO","1432","1161","271","62","54","8"
"OXUN","1432","1161","271","848","764","84"
"PAAR","1432","1161","271","1068","866","202"
"PABA","1432","1161","271","26","18","8"
"PACL","1432","1161","271","149","135","14"
"PACR","1432","1161","271","105","102","3"
"PACY","1432","1161","271","601","544","57"
"PAFO","1432","1161","271","568","462","106"
"PAHE","1432","1161","271","341","265","76"
"PAIN","1432","1161","271","356","324","32"
"PAMI","1432","1161","271","98","95","3"
"PAMU","1432","1161","271","857","743","114"
"PAPL","1432","1161","271","53","50","3"
"PARR","1432","1161","271","188","131","57"
"PEJA","1432","1161","271","13","11","2"
"PEME","1432","1161","271","5","2","3"
"PEOU","1432","1161","271","238","198","40"
"PLDI","1432","1161","271","853","717","136"
"PLGI","1432","1161","271","5","4","1"
"PLIM","1432","1161","271","22","20","2"
"PLJO","1432","1161","271","700","554","146"
"PLLA","1432","1161","271","587","473","114"
"PLLD","1432","1161","271","22","21","1"
"PLLV","1432","1161","271","60","58","2"
"PLPH","1432","1161","271","63","60","3"
"PLPI","1432","1161","271","13","11","2"
"PLRH","1432","1161","271","7","1","6"
"PLTA","1432","1161","271","211","140","71"
"PLVI","1432","1161","271","85","72","13"
"POBR","1432","1161","271","278","224","54"
"POCO","1432","1161","271","268","222","46"
"POIM","1432","1161","271","183","164","19"
"POPA","1432","1161","271","6","3","3"
"POPH","1432","1161","271","95","58","37"
"POPU","1432","1161","271","8","7","1"
"PORI","1432","1161","271","286","258","28"
"POVA","1432","1161","271","899","741","158"
"PSCO","1432","1161","271","6","5","1"
"PSEV","1432","1161","271","232","186","46"
"PSFL","1432","1161","271","66","60","6"
"PSHE","1432","1161","271","715","547","168"
"PSMO","1432","1161","271","164","152","12"
"PSOC","1432","1161","271","481","370","111"
"PSOL","1432","1161","271","14","12","2"
"PSPA","1432","1161","271","360","294","66"
"PSTE","1432","1161","271","306","228","78"
"PTEV","1432","1161","271","305","247","58"
"PTHE","1432","1161","271","73","68","5"
"PTMA","1432","1161","271","43","42","1"
"PTTI","1432","1161","271","159","153","6"
"PTTR","1432","1161","271","19","17","2"
"PTZE","1432","1161","271","32","30","2"
"PYDI","1432","1161","271","651","567","84"
"RHLU","1432","1161","271","6","5","1"
"RHRE","1432","1161","271","101","99","2"
"SACA","1432","1161","271","76","70","6"
"SADI","1432","1161","271","24","22","2"
"SAMI","1432","1161","271","5","4","1"
"SASP","1432","1161","271","153","115","38"
"SATI","1432","1161","271","280","222","58"
"SCAL","1432","1161","271","48","43","5"
"SCFO","1432","1161","271","613","514","99"
"SCFR","1432","1161","271","195","175","20"
"SCGL","1432","1161","271","132","123","9"
"SCLY","1432","1161","271","22","21","1"
"SCNI","1432","1161","271","90","88","2"
"SCOV","1432","1161","271","332","272","60"
"SCPP","1432","1161","271","4","2","2"
"SCPS","1432","1161","271","192","167","25"
"SCRU","1432","1161","271","400","357","43"
"SCSC","1432","1161","271","156","137","19"
"SCSI","1432","1161","271","143","138","5"
"SCSP","1432","1161","271","71","30","41"
"SCTR","1432","1161","271","16","14","2"
"SCXA","1432","1161","271","30","26","4"
"SIAR","1432","1161","271","26","22","4"
"SNDP","1432","1161","271","40","23","17"
"SOLD","1432","1161","271","16","1","15"
"SPBA","1432","1161","271","34","33","1"
"SPQE","1432","1161","271","25","21","4"
"STAL","1432","1161","271","19","17","2"
"STBN","1432","1161","271","149","139","10"
"STFA","1432","1161","271","423","345","78"
"STNI","1432","1161","271","36","35","1"
"STSP","1432","1161","271","19","9","10"
"STST","1432","1161","271","33","32","1"
"SUBU","1432","1161","271","495","416","79"
