"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"SCRU","2_BLT","Global",2.33,3.06,0.01,0.13,2.47,0.81,0.04,0.11
"SCSP","1_nSPC","Global",2.33,3.06,0.08,0.08,0.49,0.49,0.04,0.04
"SCSP","2_BLT","Global",2.33,3.06,0,0,0.28,0.09,0,0
"SEBA","1_nSPC","Global",2.33,3.06,0,0,0.01,0.01,0,0
"SECO","1_nSPC","Global",2.33,3.06,0.04,0.04,0.02,0.02,0,0
"SECR","2_BLT","Global",2.33,3.06,0,0.02,4.81,1.57,0.01,0.02
"SEDU","1_nSPC","Global",2.33,3.06,0.02,0.02,19.75,19.75,0.43,0.43
"SEDU","2_BLT","Global",2.33,3.06,0,0.04,7.54,2.46,0.03,0.09
"SOLD","1_nSPC","Global",2.33,3.06,0,0,0.19,0.19,0,0
"SPBA","1_nSPC","Global",2.33,3.06,0.01,0.01,7.42,7.42,0.08,0.08
"SPBA","2_BLT","Global",2.33,3.06,0,0.01,1.44,0.47,0,0.01
"SPDE","1_nSPC","Global",2.33,3.06,0.02,0.02,4.16,4.16,0.07,0.07
"STBA","1_nSPC","Global",2.33,3.06,0.62,0.62,0.12,0.12,0.07,0.07
"STMA","1_nSPC","Global",2.33,3.06,0.69,0.69,0.51,0.51,0.36,0.36
"SUBU","1_nSPC","Global",2.33,3.06,0.31,0.31,0.32,0.32,0.1,0.1
"SUBU","2_BLT","Global",2.33,3.06,0.01,0.09,0.3,0.1,0,0.01
"SUFR","1_nSPC","Global",2.33,3.06,0.2,0.2,1.35,1.35,0.27,0.27
"SUFR","2_BLT","Global",2.33,3.06,0.04,0.29,2.16,0.7,0.08,0.2
"SURG","1_nSPC","Global",2.33,3.06,0.01,0.01,0.01,0.01,0,0
"SYBI","1_nSPC","Global",2.33,3.06,0.01,0.01,0.02,0.02,0,0
"SYDE","1_nSPC","Global",2.33,3.06,0.01,0.01,0.06,0.06,0,0
"SYUL","1_nSPC","Global",2.33,3.06,0.01,0.01,0.1,0.1,0,0
"SYVA","1_nSPC","Global",2.33,3.06,0.01,0.01,0.02,0.02,0,0
"THBA","1_nSPC","Global",2.33,3.06,0.62,0.62,1.22,1.22,0.76,0.76
"THBA","2_BLT","Global",2.33,3.06,0.23,0.75,1.26,0.41,0.28,0.31
"THDQ","1_nSPC","Global",2.33,3.06,0.01,0.01,0.07,0.07,0,0
"THDU","1_nSPC","Global",2.33,3.06,0.93,0.93,0.76,0.76,0.71,0.71
"THDU","2_BLT","Global",2.33,3.06,0.03,0.21,0.24,0.08,0.01,0.02
"THLU","1_nSPC","Global",2.33,3.06,0.02,0.02,0.04,0.04,0,0
"THPU","1_nSPC","Global",2.33,3.06,0.22,0.22,1.41,1.41,0.32,0.32
"THPU","2_BLT","Global",2.33,3.06,0.04,0.32,1.03,0.34,0.05,0.11
"THQU","1_nSPC","Global",2.33,3.06,0.02,0.02,0.12,0.12,0,0
"THSP","1_nSPC","Global",2.33,3.06,0,0,0.11,0.11,0,0
"THTR","1_nSPC","Global",2.33,3.06,0.1,0.1,0.37,0.37,0.04,0.04
"THTR","2_BLT","Global",2.33,3.06,0.02,0.19,0.26,0.08,0.01,0.02
"TROB","1_nSPC","Global",2.33,3.06,0.11,0.11,35.38,35.38,3.98,3.98
"TROB","2_BLT","Global",2.33,3.06,0.02,0.18,13.17,4.3,0.27,0.76
"TUNA","1_nSPC","Global",2.33,3.06,0,0,12.63,12.63,0.02,0.02
"TYCR","1_nSPC","Global",2.33,3.06,0.01,0.01,0.05,0.05,0,0
"TYCR","2_BLT","Global",2.33,3.06,0,0.03,0.57,0.18,0,0.01
"WRAS","1_nSPC","Global",2.33,3.06,0.03,0.03,0.01,0.01,0,0
"XAAU","1_nSPC","Global",2.33,3.06,0.01,0.01,0.25,0.25,0,0
"XAME","1_nSPC","Global",2.33,3.06,0.02,0.02,0.97,0.97,0.01,0.01
"XAME","2_BLT","Global",2.33,3.06,0,0,0.22,0.07,0,0
"ZACO","1_nSPC","Global",2.33,3.06,0.52,0.52,0.46,0.46,0.24,0.24
"ZEFL","1_nSPC","Global",2.33,3.06,0.18,0.18,0.26,0.26,0.05,0.05
"ZEFL","2_BLT","Global",2.33,3.06,0,0.01,0.2,0.07,0,0
"ZEVE","1_nSPC","Global",2.33,3.06,0.22,0.22,1.04,1.04,0.23,0.23
"ZEVE","2_BLT","Global",2.33,3.06,0.05,0.36,0.69,0.22,0.04,0.08
